"Depth","Biome","mean","sd","se"
20,"Boreal forests",276.617647058824,171.739801414751,14.7265664776426
20,"Crops",53.1383838383838,81.6022067322181,5.7992163105025
20,"Deserts",40.7111111111111,45.164657524531,6.14613140792521
20,"Mediterranean/Montane shrublands",44.6510067114094,31.54629886448,1.82742802725276
20,"Temperate forests",51.7456,38.086347687336,2.40879212898136
20,"Temperate grasslands",25.54,8.21014802620786,1.16109026877539
20,"Tropical/Subtropical forests",38.3015060240964,42.993530301708,1.66847255728209
20,"Tropical/Subtropical grasslands/savannas",22.6972222222222,8.43655647364612,0.994257715396407
20,"Tundra",425.225,1514.32884798104,161.427997593762
40,"Boreal forests",1102.375,1002.45622398188,85.9599120400968
40,"Crops",136.117171717172,286.227489675201,20.3413019464736
40,"Deserts",101.748148148148,168.311735418315,22.9043260831777
40,"Mediterranean/Montane shrublands",85.5536912751678,70.5591869169599,4.08738395290493
40,"Temperate forests",119.1552,119.266976315819,7.5431058959869
40,"Temperate grasslands",38.136,11.2822012615501,1.5955442037507
40,"Tropical/Subtropical forests",115.688855421687,176.046140503046,6.83191522500051
40,"Tropical/Subtropical grasslands/savannas",38.8833333333333,19.4569586378915,2.29302456568654
40,"Tundra",714.859090909091,1202.99839678822,128.24005998495
60,"Boreal forests",5082.08676470588,5125.16418962733,439.47920357207
60,"Crops",227.473737373737,491.737977478444,34.9462963525544
60,"Deserts",238.877777777778,534.320710939006,72.7118389334284
60,"Mediterranean/Montane shrublands",113.732214765101,111.26903924001,6.44564237935467
60,"Temperate forests",319.3664,411.656729134368,26.035457563992
60,"Temperate grasslands",64.404,21.7446119059131,3.07515250658817
60,"Tropical/Subtropical forests",299.060542168675,527.156060742341,20.4576226837224
60,"Tropical/Subtropical grasslands/savannas",61.6777777777778,41.2663496313108,4.86328594318581
60,"Tundra",5529.34318181818,22810.6065631748,2431.61882988743
80,"Boreal forests",7835.04558823529,8814.51933254629,755.83879712149
80,"Crops",274.264646464646,547.417202475514,38.9032465710546
80,"Deserts",255.696296296296,487.544589915461,66.3464151192974
80,"Mediterranean/Montane shrublands",161.99932885906,270.58782488497,15.6747318331191
80,"Temperate forests",456.5256,634.675610391912,40.1404100839214
80,"Temperate grasslands",85.888,33.2536242615841,4.70277264287912
80,"Tropical/Subtropical forests",388.432831325301,669.319651897886,25.9746399843062
80,"Tropical/Subtropical grasslands/savannas",90.6777777777778,64.0554782040531,7.54901050170551
80,"Tundra",17181.1318181818,84818.921931289,9041.72745813071
100,"Boreal forests",11547.4029411765,14110.7769240075,1209.98913886442
100,"Crops",333.860606060606,676.635231503139,48.0863720226378
100,"Deserts",272.233333333333,499.099856912233,67.9188877850592
100,"Mediterranean/Montane shrublands",186.465100671141,376.534211434538,21.8120412207771
100,"Temperate forests",619.1592,917.510318959383,58.0284476923844
100,"Temperate grasslands",103.188,39.7622764510714,5.62323506279335
100,"Tropical/Subtropical forests",435.238554216867,733.469520961509,28.4641377141924
100,"Tropical/Subtropical grasslands/savannas",113.158333333333,76.4884908032059,9.01425508827863
100,"Tundra",16704.0704545455,71532.0896673753,7625.34637974908
