"profile","pro_lat","pro_long","MeanAge20cm","MeanAge40cm","MeanAge60cm","MeanAge80cm","MeanAge100cm","TransitTime_20","TransitTime_40","TransitTime_60","TransitTime_80","TransitTime_100","Biome"
"Western Kola Peninsula_32.37_69.63",69.63,32.37,13753.7913501737,13753.7913501737,13753.7913501737,13753.7913501737,13753.7913501737,0,0,0,0,0,"Boreal forests"
"BE:-28.17,153.2_153.2_-28.17",-28.17,153.2,115.157200468178,282.271241428565,282.271241428565,282.271241428565,282.271241428565,13.4,28.3,57.6,73.3,94.9,"Temperate forests"
"PG:-27.45,150.52_150.52_-27.45",-27.45,150.52,233.670672852016,282.271241428565,282.271241428565,282.271241428565,282.271241428565,28.2,41.1,56.3,86.8,121.3,"Tropical/Subtropical grasslands/savannas"
"CHI:-26.72,150.6_150.6_-26.72",-26.72,150.6,290.905530004649,633.640213235208,1466.59680682217,3072.36057859227,3217.00631131601,35,64,131.4,207.3,248,"Tropical/Subtropical grasslands/savannas"
"Strathdarr- tree zone:-23.13,143.57_143.57_-23.13",-23.13,143.57,240.550746117325,286.905940536445,286.905940536445,286.905940536445,286.905940536445,49.5,91.9,172.2,268,276.3,"Tropical/Subtropical grasslands/savannas"
"Co1:-37.3,140.8_140.8_-37.3",-37.3,140.8,691.311149355106,951.369008539163,2073.02771627671,6381.94855830252,8067.54744511246,138.9,399.1,752.6,991.2,1232.5,"Crops"
"Manacapuru_-60.50375_-3.280222",-3.280222,-60.50375,268.869435431416,NA,NA,NA,NA,10.2,19.3,48,85.4,125.9,"Tropical/Subtropical forests"
"Manacapuru_-60.506278_-3.28125",-3.28125,-60.506278,1.73395476976761,NA,NA,NA,NA,10.2,19.3,48,85.4,125.9,"Tropical/Subtropical forests"
"Apu??_-59.829889_-7.217444",-7.217444,-59.829889,380.04463892183,NA,NA,NA,NA,16.9,25.2,38,58.7,70.3,"Tropical/Subtropical forests"
"Apu??_-59.828139_-7.214861",-7.214861,-59.828139,214.329575444111,NA,NA,NA,NA,17,25.3,38.2,59.1,70.7,"Tropical/Subtropical forests"
"SlaveLake_-114.13_55.06",55.06,-114.13,1486.18153278012,1486.18153278012,1486.18153278012,1507.45367306272,2197.63017456323,330.1,1026.4,2769.5,5037.2,8102.5,"Boreal forests"
"Beauval_-107.5_55",55,-107.5,2308.59701786855,2308.59701786855,2308.59701786855,2308.59701786855,2308.59701786855,368.7,1095.6,4858.2,9651.5,9843,"Boreal forests"
